Site Code,Planning Week Date Range (Mon - Sun),Mine/Mill,# PMs Scheduled,# PMs Completed as Scheduled,# Total Maintenance WO Completed,# Scheduled Maintenance WO,# Non-Scheduled Maintenance WO Completed,# Scheduled Maintenance WO Completed,PM Schedule Compliance (By Work Order Count)
HVC,2021-07-26 - 2021-08-01,Mill,408,,1,507,,,
HVC,2021-08-02 - 2021-08-08,Mill,350,,2,386,,1,
HVC,2021-08-09 - 2021-08-15,Mill,361,,1,464,,1,
HVC,2021-08-16 - 2021-08-22,Mill,437,,1,496,,,
HVC,2021-08-23 - 2021-08-29,Mill,386,,2,477,,2,
HVC,2021-08-30 - 2021-09-05,Mill,597,,5,701,2,1,
HVC,2021-09-06 - 2021-09-12,Mill,431,,1,555,,1,
HVC,2021-09-13 - 2021-09-19,Mill,426,,1,506,,1,
HVC,2021-09-20 - 2021-09-26,Mill,395,,3,448,2,2,
HVC,2021-09-27 - 2021-10-03,Mill,408,,2,506,2,1,
HVC,2021-10-04 - 2021-10-10,Mill,421,,3,516,2,3,
HVC,2021-10-11 - 2021-10-17,Mill,414,,1,455,,1,
HVC,2021-10-18 - 2021-10-24,Mill,562,,1,623,,1,
HVC,2021-10-25 - 2021-10-31,Mill,500,,4,584,,2,
HVC,2021-11-01 - 2021-11-07,Mill,438,,5,522,,4,
HVC,2021-11-08 - 2021-11-14,Mill,398,,4,468,1,2,
HVC,2021-11-15 - 2021-11-21,Mill,525,,3,579,,2,
HVC,2021-11-22 - 2021-11-28,Mill,429,,3,561,1,3,
HVC,2021-11-29 - 2021-12-05,Mill,386,,3,459,1,2,
HVC,2021-12-06 - 2021-12-12,Mill,529,,2,579,1,1,
HVC,2021-12-13 - 2021-12-19,Mill,435,,3,540,1,2,
HVC,2021-12-20 - 2021-12-26,Mill,359,,1,446,,1,
HVC,2021-12-27 - 2022-01-02,Mill,380,,6,426,3,1,
HVC,2022-01-03 - 2022-01-09,Mill,486,,21,578,15,5,
HVC,2022-01-10 - 2022-01-16,Mill,426,,12,479,5,3,
HVC,2022-01-17 - 2022-01-23,Mill,488,,11,540,9,4,
HVC,2022-01-24 - 2022-01-30,Mill,495,,11,526,4,4,
HVC,2022-01-31 - 2022-02-06,Mill,457,,10,554,5,4,
HVC,2022-02-07 - 2022-02-13,Mill,450,,12,556,5,5,
HVC,2022-02-14 - 2022-02-20,Mill,415,,9,570,4,6,
HVC,2022-02-21 - 2022-02-27,Mill,442,1,10,548,4,6,0.30%
HVC,2022-02-28 - 2022-03-06,Mill,458,1,11,538,5,4,0.33%
HVC,2022-03-07 - 2022-03-13,Mill,507,,13,628,8,4,
HVC,2022-03-14 - 2022-03-20,Mill,461,,11,522,5,6,
HVC,2022-03-21 - 2022-03-27,Mill,445,,12,558,7,6,
HVC,2022-03-28 - 2022-04-03,Mill,453,,8,527,4,5,
HVC,2022-04-04 - 2022-04-10,Mill,492,,10,580,8,6,
HVC,2022-04-11 - 2022-04-17,Mill,495,,15,654,5,9,
HVC,2022-04-18 - 2022-04-24,Mill,493,,12,604,7,6,
HVC,2022-04-25 - 2022-05-01,Mill,398,,10,548,6,4,
HVC,2022-05-02 - 2022-05-08,Mill,497,2,26,618,9,14,0.54%
HVC,2022-05-09 - 2022-05-15,Mill,471,,21,633,8,7,
HVC,2022-05-16 - 2022-05-22,Mill,402,,17,513,6,7,
HVC,2022-05-23 - 2022-05-29,Mill,360,,19,444,14,3,
HVC,2022-05-30 - 2022-06-05,Mill,498,,18,640,8,5,
HVC,2022-06-06 - 2022-06-12,Mill,421,,25,543,10,8,
HVC,2022-06-13 - 2022-06-19,Mill,498,3,20,603,9,7,0.28%
HVC,2022-06-20 - 2022-06-26,Mill,545,,13,537,5,4,
HVC,2022-06-27 - 2022-07-03,Mill,421,,20,494,6,8,
HVC,2022-07-04 - 2022-07-10,Mill,479,,20,542,9,8,
HVC,2022-07-11 - 2022-07-17,Mill,418,,19,539,9,8,
HVC,2022-07-18 - 2022-07-24,Mill,347,,18,398,9,3,
HVC,2022-07-25 - 2022-07-31,Mill,398,,20,491,9,8,
HVC,2022-08-01 - 2022-08-07,Mill,373,,25,454,16,6,
HVC,2022-08-08 - 2022-08-14,Mill,416,2,16,509,11,8,0.64%
HVC,2022-08-15 - 2022-08-21,Mill,457,,22,510,8,5,
HVC,2022-08-22 - 2022-08-28,Mill,382,,16,434,9,5,
HVC,2022-08-29 - 2022-09-04,Mill,327,,19,415,6,6,
HVC,2022-09-05 - 2022-09-11,Mill,349,,31,407,21,5,
HVC,2022-09-12 - 2022-09-18,Mill,475,1,29,570,13,10,0.28%
HVC,2022-09-19 - 2022-09-25,Mill,487,,29,525,21,8,
HVC,2022-09-26 - 2022-10-02,Mill,481,,31,538,20,8,
HVC,2022-10-03 - 2022-10-09,Mill,435,1,39,583,20,19,0.29%
HVC,2022-10-10 - 2022-10-16,Mill,398,,38,563,15,16,
HVC,2022-10-17 - 2022-10-23,Mill,422,,36,552,19,16,
HVC,2022-10-24 - 2022-10-30,Mill,466,2,48,627,18,20,0.57%
HVC,2022-10-31 - 2022-11-06,Mill,369,,61,502,27,17,
HVC,2022-11-07 - 2022-11-13,Mill,465,2,82,601,26,20,0.61%
HVC,2022-11-14 - 2022-11-20,Mill,461,,80,614,22,18,
HVC,2022-11-21 - 2022-11-27,Mill,317,2,69,415,31,27,0.93%
HVC,2022-11-28 - 2022-12-04,Mill,359,3,95,442,32,26,1.31%
HVC,2022-12-05 - 2022-12-11,Mill,368,6,120,513,37,37,2.16%
HVC,2022-12-12 - 2022-12-18,Mill,334,2,114,477,51,36,0.87%
HVC,2022-12-19 - 2022-12-25,Mill,321,34,208,384,94,39,7.89%
HVC,2022-12-26 - 2023-01-01,Mill,355,169,409,432,124,191,78.03%
HVC,2023-01-02 - 2023-01-08,Mill,452,275,611,591,152,332,87.60%
HVC,2023-01-09 - 2023-01-15,Mill,397,260,475,505,132,304,92.34%
HVC,2023-01-16 - 2023-01-22,Mill,439,237,522,530,164,276,90.10%
HVC,2023-01-23 - 2023-01-29,Mill,391,242,547,540,183,292,93.93%
HVC,2023-01-30 - 2023-02-05,Mill,467,317,547,626,154,353,89.23%
HVC,2023-02-06 - 2023-02-12,Mill,373,229,435,474,165,245,80.09%
HVC,2023-02-13 - 2023-02-19,Mill,401,231,465,516,138,277,82.67%
HVC,2023-02-20 - 2023-02-26,Mill,372,168,297,455,100,174,59.73%
HVC,2023-02-27 - 2023-03-05,Mill,295,17,39,361,14,24,7.59%
HVC,2023-03-06 - 2023-03-12,Mill,81,,1,112,1,,
HVC,2023-03-13 - 2023-03-19,Mill,3,,1,3,1,,
HVC,2023-03-20 - 2023-03-26,Mill,3,,1,6,1,,
